date,soil_moisture_percent,air_temperature_celsius
2018/7/9 04:04,7.99,20.5
2018/7/9 04:19,8.11,20.5
2018/7/9 04:34,7.99,20.45
2018/7/9 04:49,7.86,20.3
2018/7/9 05:04,8.11,20.21
2018/7/9 05:19,8.11,20.11
2018/7/9 05:34,7.86,20.11
2018/7/9 05:49,8.11,20.16
2018/7/9 06:04,8.11,20.35
2018/7/9 06:19,8.11,20.55
2018/7/9 06:34,7.98,20.69
2018/7/9 06:49,16.81,20.55
2018/7/9 07:04,15.43,20.64
2018/7/9 07:19,15.37,20.74
2018/7/9 07:34,15.21,20.93
2018/7/9 07:49,14.93,21.17
2018/7/9 08:04,14.79,21.5
2018/7/9 08:19,14.13,21.69
2018/7/9 08:34,13.99,22.12
2018/7/9 08:49,13.86,22.68
2018/7/9 09:04,14.11,23.65
2018/7/9 09:19,13.72,24.7
2018/7/9 09:34,13.46,26.19
2018/7/9 09:49,13.71,28.64
2018/7/9 10:04,13.32,33.92
2018/7/9 10:19,13.6,43.33
2018/7/9 10:34,13.47,44.9
2018/7/9 10:49,13.09,48.49
2018/7/9 11:04,12.97,50.3
2018/7/9 11:19,13.1,51.99
2018/7/9 11:34,12.58,52.49
2018/7/9 11:49,12.7,48.72
2018/7/9 12:04,12.68,42.31
2018/7/9 12:19,11.9,47.86
2018/7/9 12:34,12.28,51.81
2018/7/9 12:49,11.49,39.94
2018/7/9 13:04,11.61,35.54
2018/7/9 13:19,11.47,34.27
2018/7/9 13:34,11.33,34.27
2018/7/9 13:49,11.46,34.41
2018/7/9 14:04,11.06,34.23
2018/7/9 14:19,10.67,34.01
2018/7/9 14:34,10.8,34.36
2018/7/9 14:49,10.54,34.41
2018/7/9 15:04,10.92,34.19
2018/7/9 15:19,10.66,34.73
2018/7/9 15:34,10.53,34.91
2018/7/9 15:49,10.27,34.19
2018/7/9 16:04,10.01,33.83
2018/7/9 16:19,10.26,33.07
2018/7/9 16:34,10.13,31.96
2018/7/9 16:49,9.87,31.07
2018/7/9 17:04,10.26,30.5
2018/7/9 17:19,10,29.61
2018/7/9 17:34,9.61,28.91
2018/7/9 17:49,9.99,27.31
2018/7/9 18:04,9.61,26.37
2018/7/9 18:19,9.86,25.7
2018/7/9 18:34,9.86,25.2
2018/7/9 18:49,9.47,24.84
2018/7/9 19:04,9.98,24.29
2018/7/9 19:19,9.98,24.02
2018/7/9 19:34,9.34,23.74
2018/7/9 19:49,9.72,23.6
2018/7/9 20:04,9.59,23.05
2018/7/9 20:19,9.59,22.72
2018/7/9 20:34,9.59,22.49
2018/7/9 20:49,9.72,22.49
2018/7/9 21:04,9.59,22.3
2018/7/9 21:19,9.46,22.21
2018/7/9 21:34,9.46,22.02
2018/7/9 21:49,9.46,21.97
2018/7/9 22:04,9.58,21.93
2018/7/9 22:19,9.58,21.6
2018/7/9 22:34,9.46,21.69
2018/7/9 22:49,8.94,21.55
2018/7/9 23:04,9.58,21.5
2018/7/9 23:19,9.58,21.36
2018/7/9 23:34,9.58,21.31
2018/7/9 23:49,9.32,21.41
2018/7/10 00:04,9.58,21.36
2018/7/10 00:19,8.94,21.26
2018/7/10 00:34,9.32,21.17
2018/7/10 00:49,9.32,20.83
2018/7/10 01:04,9.07,20.93
2018/7/10 01:19,9.32,20.79
2018/7/10 01:34,9.45,20.74
2018/7/10 01:49,9.45,20.59
2018/7/10 02:04,8.94,20.5
2018/7/10 02:19,8.94,20.55
2018/7/10 02:34,9.19,20.4
2018/7/10 02:49,9.45,20.35
2018/7/10 03:04,9.19,20.21
2018/7/10 03:19,8.93,20.16
2018/7/10 03:34,9.19,20.21
2018/7/10 03:49,9.19,20.21
2018/7/10 04:04,8.93,20.21
2018/7/10 04:19,8.93,20.11
2018/7/10 04:34,9.31,20.16
2018/7/10 04:49,8.68,20.11
2018/7/10 05:04,9.06,20.11
2018/7/10 05:19,8.8,20.16
2018/7/10 05:34,8.93,20.26
2018/7/10 05:49,8.8,20.21
2018/7/10 06:04,9.18,20.26
2018/7/10 06:19,9.06,20.5
2018/7/10 06:34,9.18,20.59
2018/7/10 06:49,9.31,20.74
2018/7/10 07:04,8.55,21.03
2018/7/10 07:19,8.67,21.31
2018/7/10 07:34,8.8,21.45
2018/7/10 07:49,8.67,21.69
2018/7/10 08:03,8.67,21.88
2018/7/10 08:18,9.18,22.16
2018/7/10 08:33,8.8,22.49
2018/7/10 08:48,8.92,23.05
2018/7/10 09:03,8.92,23.79
2018/7/10 09:18,8.8,24.7
2018/7/10 09:33,9.05,26.1
2018/7/10 09:48,8.54,28.33
2018/7/10 10:03,8.67,32.89
2018/7/10 10:18,8.66,43.49
2018/7/10 10:33,8.65,45.44
2018/7/10 10:48,8.25,48.2
2018/7/10 11:03,8.37,50.59
2018/7/10 11:18,8.24,50.12
2018/7/10 11:33,8.11,52.11
2018/7/10 11:48,8.37,48.77
2018/7/10 12:03,8.63,41.96
2018/7/10 12:18,8.5,47.13
2018/7/10 12:33,8.37,49.82
2018/7/10 12:48,8.25,37.15
2018/7/10 13:03,8.52,34.32
2018/7/10 13:18,8.39,33.25
2018/7/10 13:33,7.89,33.07
2018/7/10 13:48,8.01,33.69
2018/7/10 14:03,8.14,33.74
2018/7/10 14:18,8.26,33.33
2018/7/10 14:33,8.14,33.42
2018/7/10 14:48,7.76,33.47
2018/7/10 15:03,7.88,33.51
2018/7/10 15:18,7.75,33.07
2018/7/10 15:33,7.5,32
2018/7/10 15:48,7.75,32.18
2018/7/10 16:03,7.75,31.03
2018/7/10 16:18,7.5,31.2
2018/7/10 16:33,7.75,29.92
2018/7/10 16:48,7.62,29.53
2018/7/10 17:03,7.62,28.95
2018/7/10 17:18,8,28.15
2018/7/10 17:33,7.88,27.04
2018/7/10 17:48,7.88,25.74
2018/7/10 18:03,7.5,25.02
2018/7/10 18:18,7.88,24.7
2018/7/10 18:33,7.75,24.43
2018/7/10 18:48,7.88,23.6
2018/7/10 19:03,7.63,23.24
2018/7/10 19:18,7.38,23.05
2018/7/10 19:33,7.38,22.77
2018/7/10 19:48,7.38,22.58
2018/7/10 20:03,7.63,22.44
2018/7/10 20:18,7.5,22.35
2018/7/10 20:33,7.5,22.07
2018/7/10 20:48,7.38,22.12
2018/7/10 21:03,7.38,21.97
2018/7/10 21:18,7.5,21.88
2018/7/10 21:33,7.63,21.97
2018/7/10 21:48,7.37,21.79
2018/7/10 22:03,7.88,21.74
2018/7/10 22:18,7.5,21.64
2018/7/10 22:33,7.75,21.55
2018/7/10 22:48,7.62,21.6
2018/7/10 23:03,7.62,21.55
2018/7/10 23:18,7.5,21.31
2018/7/10 23:33,7.37,21.26
2018/7/10 23:48,7.12,21.22
2018/7/11 00:03,7.87,21.17
2018/7/11 00:18,7.75,21.07
2018/7/11 00:33,7.25,21.03
2018/7/11 00:48,7.75,20.88
2018/7/11 01:03,7.75,20.79
2018/7/11 01:18,7.12,20.74
2018/7/11 01:33,7.49,20.83
2018/7/11 01:48,7.49,20.74
2018/7/11 02:03,7.24,20.69
2018/7/11 02:18,7.62,20.59
2018/7/11 02:33,7.74,20.55
2018/7/11 02:48,7.12,20.5
2018/7/11 03:03,7.37,20.3
2018/7/11 03:18,7.24,20.4
2018/7/11 03:33,7.12,20.26
2018/7/11 03:48,7.49,20.4
2018/7/11 04:03,6.99,20.64
2018/7/11 04:18,7.49,20.88
2018/7/11 04:33,7.49,21.07
2018/7/11 04:48,7.49,21.07
2018/7/11 05:03,7.36,21.26
2018/7/11 05:18,7.61,21.17
2018/7/11 05:33,7.36,21.31
